x,y,chromosome
2707602,0.2074,Y
2707802,0.4453,Y
2708002,0.41,Y
2708202,0.3892,Y
2708402,0.1151,Y
2708602,0.4568,Y
2708802,0.4099,Y
2709002,0.5297,Y
2709202,0.2302,Y
2709402,0.3652,Y
2709602,0.6211,Y
2709802,0.2612,Y
2710002,0.4107,Y
2710202,0.8367,Y
2710402,0.1461,Y
2710602,0.2193,Y
2710802,0.4548,Y
2711002,0.2647,Y
2711202,0.1509,Y
2711402,0.553,Y
2711602,0.6168,Y
2711802,0.4363,Y
2712002,0.3008,Y
2712202,0.359,Y
2712402,0.5983,Y
2712602,0.4068,Y
2712802,0.468,Y
2713002,0.4326,Y
2713202,0.7354,Y
2713402,0.4112,Y
2713602,0.4368,Y
2713802,0.3796,Y
2714002,0.1389,Y
2714202,0.3325,Y
2714402,0.3547,Y
2714602,0.3076,Y
2714802,0.7587,Y
2715002,0.3191,Y
2715202,0.4987,Y
2715402,0.5026,Y
2715602,0.5091,Y
2715802,0.5108,Y
2716202,0.5359,Y
2716402,0.3369,Y
2716602,0.5641,Y
2716802,0.817,Y
2717002,0.5265,Y
2717202,0.4387,Y
2717402,0.7017,Y
2717602,0.2496,Y
2717802,0.416,Y
2718002,0.393,Y
2718202,0.3325,Y
2718402,0.4169,Y
2718602,0.3451,Y
2718802,0.3784,Y
2719002,0.7177,Y
2719202,0.6011,Y
2719402,0.6863,Y
2719602,0.3154,Y
2719802,0.3863,Y
2720002,0.6266,Y
2720202,0.6958,Y
2720402,0.2815,Y
2720802,0.3016,Y
2721002,0.2422,Y
2721202,0.2782,Y
2721402,0.2802,Y
2721602,0.3512,Y
2721802,0.715,Y
2722002,0.2277,Y
2722202,0.3537,Y
2722402,0.6379,Y
2722802,0.6321,Y
2723002,0.2518,Y
2723202,0.1612,Y
2723402,0.5376,Y
2723602,0.5017,Y
2723802,0.3929,Y
2724002,0.8118,Y
2724202,0.4151,Y
2724402,0.6011,Y
2724602,0.4177,Y
2724802,0.5564,Y
2725002,0.4229,Y
2725202,0.5165,Y
2725402,0.3526,Y
2725602,0.4377,Y
2725802,0.7941,Y
2726202,0.6519,Y
2726402,0.1644,Y
2726602,0.816,Y
2726802,0.4593,Y
2727002,0.7609,Y
2727202,0.1391,Y
2727402,0.3364,Y
2727602,0.4131,Y
2727802,0.2302,Y
2728002,0.7474,Y
2728202,0.2815,Y
2728402,0.7941,Y
2728602,0.4763,Y
2728802,0.5378,Y
2729002,0.5009,Y
2729202,0.6644,Y
2729402,0.4248,Y
2729602,0.5686,Y
2729802,0.7733,Y
2730002,0.585,Y
2730202,0.5292,Y
2730402,0.7408,Y
2730602,0.5155,Y
2731002,0.3876,Y
2731202,0.5429,Y
2731402,0.2743,Y
2731602,0.4355,Y
2731802,0.3539,Y
2732002,0.2696,Y
2732202,0.7078,Y
2732402,0.406,Y
2732602,0.5389,Y
2732802,0.3487,Y
2733202,0.4171,Y
2733402,0.1456,Y
2733602,0.2577,Y
2733802,0.1969,Y
2734202,0.2166,Y
2734602,0.7303,Y
2734802,0.5245,Y
2735002,0.3582,Y
2735202,0.5098,Y
2735402,0.5378,Y
2735602,0.4268,Y
2735802,0.2668,Y
2736002,0.2676,Y
2736202,0.4127,Y
2736402,0.2961,Y
2736602,0.4793,Y
2736802,0.3187,Y
2737002,0.5368,Y
2737202,0.6088,Y
2737402,0.3372,Y
2737602,0.3069,Y
2737802,0.3364,Y
2738002,0.4399,Y
2738202,0.3252,Y
2738402,0.4662,Y
2738602,0.6937,Y
2738802,0.3519,Y
2739002,0.2391,Y
2739202,0.4545,Y
2739402,0.5911,Y
2739602,0.3027,Y
2739802,0.6558,Y
2740002,0.564,Y
2740202,0.5367,Y
2740402,0.5319,Y
2740602,0.3203,Y
2740802,0.6041,Y
2741002,0.5009,Y
2741202,0.2925,Y
2741402,0.5042,Y
2741602,0.2543,Y
2741802,0.3623,Y
2742002,0.2938,Y
2742202,0.5049,Y
2742402,0.3704,Y
2742602,0.4738,Y
2742802,0.4253,Y
2743002,0.7563,Y
2743202,0.4974,Y
2743402,0.4844,Y
2743602,0.4055,Y
2743802,0.5386,Y
2744002,0.4322,Y
2744202,0.5593,Y
2744402,0.4098,Y
2744602,0.5606,Y
2744802,0.4705,Y
2745002,0.4956,Y
2745202,0.6955,Y
2745402,0.364,Y
2745602,0.8283,Y
2745802,0.4938,Y
2746002,0.6804,Y
2746202,0.1375,Y
2746402,0.1767,Y
2746602,0.7551,Y
2746802,0.5923,Y
2747002,0.3344,Y
2747202,0.538,Y
2747402,0.5911,Y
2747602,0.5508,Y
2747802,0.4852,Y
2748002,0.2195,Y
2748202,0.4525,Y
2748402,0.5723,Y
2748602,0.4406,Y
2748802,0.7224,Y
2749002,0.3896,Y
2749202,0.4232,Y
2749602,0.363,Y
2749802,0.4932,Y
2750002,0.4869,Y
2750202,0.3722,Y
2750402,0.3896,Y
2750602,0.3554,Y
2750802,0.5084,Y
2751002,0.5902,Y
2751202,0.7469,Y
2751402,0.5139,Y
2751602,0.3561,Y
2751802,0.7058,Y
2752002,0.3463,Y
2752202,0.5048,Y
2752402,0.1297,Y
2752602,0.3793,Y
2752802,0.1813,Y
2753002,0.6192,Y
2753202,0.313,Y
2753402,0.3657,Y
2753602,0.4537,Y
2753802,0.6012,Y
2754002,0.23,Y
2754202,0.5014,Y
2754402,0.4399,Y
2754602,0.2136,Y
2754802,0.4399,Y
2755002,0.5423,Y
2755402,0.445,Y
2755602,0.3385,Y
2755802,0.6216,Y
2756002,0.7602,Y
2756202,0.7393,Y
2756402,0.2999,Y
2756602,0.5358,Y
2756802,0.5154,Y
2757002,0.779,Y
2757202,0.5835,Y
2757402,0.521,Y
2757602,0.2832,Y
2757802,0.5684,Y
2758002,0.2683,Y
2758202,0.4814,Y
2758402,0.2088,Y
2758602,0.6309,Y
2758802,0.3661,Y
2759002,0.4621,Y
2759202,0.4731,Y
2759402,0.5357,Y
2759602,0.3251,Y
2759802,0.508,Y
2760002,0.54,Y
2760202,0.3448,Y
2760402,0.5315,Y
2760602,0.3369,Y
2760802,0.4712,Y
2761002,0.4722,Y
2761202,0.3543,Y
2761402,0.3925,Y
2761602,0.4536,Y
2761802,0.6111,Y
2762002,0.8262,Y
2762202,0.5036,Y
2762402,0.3221,Y
2762602,0.5434,Y
2762802,0.2359,Y
2763002,0.378,Y
2763202,0.35,Y
2763402,0.6552,Y
2763602,0.1455,Y
2763802,0.625,Y
2764002,0.3427,Y
2764202,0.5354,Y
2764402,0.4714,Y
2764602,0.2844,Y
2764802,0.47,Y
2765002,0.7677,Y
2765202,0.4193,Y
2765402,0.3016,Y
2765602,0.4931,Y
2765802,0.3822,Y
2766002,0.6913,Y
2766202,0.435,Y
2766402,0.2694,Y
2766602,0.5,Y
2766802,0.5444,Y
2767002,0.2361,Y
2767202,0.3821,Y
2767402,0.6907,Y
2767602,0.6166,Y
2767802,0.4027,Y
2768002,0.3917,Y
2768202,0.7422,Y
2768402,0.6032,Y
2768602,0.515,Y
2768802,0.7883,Y
2769002,0.5477,Y
2769202,0.7096,Y
2769402,0.6755,Y
2769602,0.6562,Y
2769802,0.5498,Y
2770002,0.7867,Y
2770202,0.7842,Y
2770402,0.2949,Y
2770602,0.4597,Y
2770802,0.3258,Y
2771002,0.2668,Y
2771202,0.4692,Y
2771402,0.7023,Y
2771602,0.337,Y
2771802,0.4047,Y
2772002,0.7842,Y
2772202,0.6104,Y
2772402,0.8253,Y
2772602,0.8127,Y
2772802,0.3021,Y
2773002,0.2416,Y
2773202,0.3566,Y
2773402,0.664,Y
2773602,0.4659,Y
2773802,0.4162,Y
2774002,0.6068,Y
2774202,0.3787,Y
2774402,0.5411,Y
2774602,0.1429,Y
2774802,0.2536,Y
2775002,0.3435,Y
2775202,0.2996,Y
2775402,0.5081,Y
2775602,0.228,Y
2775802,0.6875,Y
2776002,0.4852,Y
2776402,0.7005,Y
2776602,0.4284,Y
2776802,0.4071,Y
2777002,0.8573,Y
2777202,0.2017,Y
2777402,0.399,Y
2777602,0.2694,Y
2777802,0.6553,Y
2778002,0.3581,Y
2778202,0.2352,Y
2778402,0.227,Y
2778602,0.3357,Y
2778802,0.5936,Y
2779002,0.191,Y
2779202,0.3021,Y
2779402,0.2462,Y
2779602,0.5604,Y
2779802,0.6407,Y
2780002,0.4482,Y
2780202,0.4466,Y
2780402,0.5844,Y
2780602,0.3571,Y
2781002,0.4714,Y
2781202,0.308,Y
2781402,0.5444,Y
2781802,0.8151,Y
2782002,0.589,Y
2782202,0.5723,Y
2782402,0.1431,Y
2782602,0.7653,Y
2782802,0.589,Y
2783002,0.5866,Y
2783202,0.1348,Y
2783402,0.5423,Y
2783602,0.5241,Y
2783802,0.4719,Y
2784002,0.8207,Y
2784202,0.525,Y
2784402,0.4424,Y
2784802,0.786,Y
2785002,0.6087,Y
2785202,0.6207,Y
2785402,0.5565,Y
2785602,0.7884,Y
2785802,0.3689,Y
2786002,0.513,Y
2786202,0.3936,Y
2786402,0.4055,Y
2786602,0.2571,Y
2786802,0.6376,Y
2787002,0.276,Y
2787202,0.4971,Y
2787402,0.7203,Y
2787602,0.5595,Y
2787802,0.4598,Y
2788002,0.6055,Y
2788202,0.5911,Y
2788402,0.6296,Y
2788602,0.8601,Y
2788802,0.3008,Y
2789002,0.6237,Y
2789202,0.3261,Y
2789402,0.3467,Y
2789802,0.415,Y
2790002,0.572,Y
2790202,0.7586,Y
2790402,0.3829,Y
2790602,0.3578,Y
2790802,0.7415,Y
2791002,0.379,Y
2791202,0.2628,Y
2791402,0.2143,Y
2791602,0.5505,Y
2791802,0.6088,Y
2792002,0.5174,Y
2792202,0.8127,Y
2792402,0.7638,Y
2792602,0.3031,Y
2792802,0.2529,Y
2793002,0.5714,Y
2793202,0.358,Y
2793402,0.4875,Y
2793602,0.4065,Y
2793802,0.5032,Y
2794002,0.1417,Y
2794402,0.7628,Y
2794602,0.3133,Y
2794802,0.55,Y
2795002,0.3973,Y
2795202,0.3288,Y
2795402,0.3059,Y
2795602,0.4678,Y
2795802,0.2891,Y
2796002,0.5887,Y
2796202,0.3929,Y
2796402,0.3587,Y
2796602,0.2506,Y
2796802,0.6886,Y
2797002,0.287,Y
2797202,0.2165,Y
2797402,0.2483,Y
2797602,0.6755,Y
2797802,0.5629,Y
2798002,0.3927,Y
2798202,0.5112,Y
2798402,0.2034,Y
2798602,0.3634,Y
2798802,0.5546,Y
2799002,0.4668,Y
2799202,0.8413,Y
2799402,0.6067,Y
2799602,0.4305,Y
2800002,0.1914,Y
2800202,0.6683,Y
2800402,0.2251,Y
2800802,0.5703,Y
2801002,0.6257,Y
2801202,0.419,Y
2801402,0.4566,Y
2801602,0.2875,Y
2801802,0.6973,Y
2802002,0.3539,Y
2802202,0.1798,Y
2802402,0.804,Y
2802602,0.3536,Y
2802802,0.3898,Y
2803002,0.3631,Y
2803202,0.0754,Y
2803602,0.2836,Y
2803802,0.5482,Y
2804002,0.4599,Y
2804202,0.4826,Y
2804402,0.4956,Y
2804602,0.5842,Y
2804802,0.3565,Y
2805002,0.3408,Y
2805202,0.4372,Y
2805402,0.681,Y
2805602,0.6108,Y
2806002,0.2929,Y
2806202,0.2563,Y
2806402,0.4247,Y
2806602,0.2864,Y
2806802,0.4784,Y
2807002,0.2487,Y
2807202,0.4713,Y
2807402,0.2769,Y
2807602,0.3754,Y
2807802,0.5092,Y
2808002,0.3672,Y
2808202,0.5186,Y
2808402,0.3708,Y
2808602,0.2867,Y
2808802,0.8418,Y
2809002,0.7031,Y
2809202,0.804,Y
2809402,0.4338,Y
2809602,0.2713,Y
2809802,0.7083,Y
2810002,0.4778,Y
2810202,0.3722,Y
2810402,0.3789,Y
2810602,0.4675,Y
2810802,0.2953,Y
2811002,0.4231,Y
2811202,0.4346,Y
2811402,0.3754,Y
2811602,0.8385,Y
2811802,0.2523,Y
2812002,0.2938,Y
2812202,0.303,Y
2812402,0.6395,Y
2812602,0.3683,Y
2812802,0.4519,Y
2813002,0.2401,Y
2813202,0.4831,Y
2813402,0.4538,Y
2813602,0.5127,Y
2813802,0.2417,Y
2814002,0.4031,Y
2814202,0.526,Y
2814402,0.5049,Y
2814602,0.3184,Y
2814802,0.3436,Y
2815002,0.6933,Y
2815202,0.8113,Y
2815402,0.5301,Y
2815602,0.3445,Y
2815802,0.6648,Y
2816002,0.5238,Y
2816202,0.6671,Y
2816402,0.0943,Y
2816602,0.3069,Y
2816802,0.2359,Y
2817002,0.4986,Y
2817202,0.6737,Y
2817402,0.8144,Y
2817602,0.5109,Y
2817802,0.6946,Y
2818002,0.5169,Y
2818202,0.6563,Y
2818402,0.3548,Y
2818602,0.7303,Y
2818802,0.3592,Y
2819202,0.1481,Y
2819402,0.606,Y
2819602,0.6814,Y
2819802,0.6506,Y
2820002,0.6227,Y
2820202,0.3257,Y
2820402,0.6191,Y
2820602,0.3941,Y
2820802,0.7175,Y
2821002,0.4364,Y
2821202,0.4252,Y
2821402,0.3702,Y
2821602,0.5154,Y
2821802,0.5536,Y
2822002,0.3414,Y
2822202,0.4066,Y
2822402,0.5842,Y
2822602,0.1126,Y
2822802,0.4963,Y
2823002,0.4864,Y
2823202,0.2483,Y
2823402,0.2851,Y
2823602,0.4674,Y
2823802,0.4547,Y
2824202,0.3498,Y
2824402,0.5853,Y
2824602,0.6168,Y
2824802,0.2364,Y
2825002,0.4835,Y
2825202,0.5377,Y
2825402,0.3949,Y
2825602,0.6541,Y
2825802,0.1198,Y
2826002,0.6237,Y
2826202,0.3146,Y
2826402,0.5771,Y
2826602,0.6385,Y
2826802,0.8118,Y
2827002,0.4279,Y
2827202,0.5192,Y
2827402,0.8237,Y
2827602,0.1504,Y
2828002,0.4826,Y
2828202,0.3712,Y
2828402,0.2513,Y
2828602,0.4001,Y
2828802,0.4294,Y
2829002,0.549,Y
2829202,0.6184,Y
2829402,0.4249,Y
2829602,0.4834,Y
2829802,0.4233,Y
2830002,0.1763,Y
2830202,0.2949,Y
2830402,0.4349,Y
2830602,0.7291,Y
2830802,0.4843,Y
2831002,0.554,Y
2831202,0.2422,Y
2831402,0.5632,Y
2831602,0.2002,Y
2831802,0.3589,Y
2832002,0.3726,Y
2832202,0.6609,Y
2832402,0.1617,Y
2832602,0.566,Y
2832802,0.3329,Y
2833002,0.7864,Y
2833202,0.6432,Y
2833402,0.3106,Y
2833602,0.6804,Y
2833802,0.3575,Y
2834002,0.2362,Y
2834202,0.5334,Y
2834402,0.5326,Y
2834602,0.2697,Y
2834802,0.5157,Y
2835002,0.4352,Y
2835202,0.2811,Y
2835402,0.7884,Y
2835602,0.4369,Y
2835802,0.2872,Y
2836002,0.7129,Y
2836202,0.4319,Y
2836402,0.3528,Y
2836602,0.314,Y
2836802,0.5228,Y
2837002,0.1574,Y
2837202,0.2749,Y
2837402,0.2359,Y
2837602,0.6368,Y
2837802,0.4377,Y
2838002,0.2952,Y
2838202,0.3936,Y
2838402,0.4286,Y
2838602,0.4588,Y
2838802,0.6611,Y
2839002,0.787,Y
2839202,0.1576,Y
2839402,0.4981,Y
2839602,0.5521,Y
2839802,0.6174,Y
2840002,0.545,Y
2840202,0.377,Y
2840402,0.3492,Y
2840602,0.6748,Y
2840802,0.4712,Y
2841002,0.3195,Y
2841402,0.5632,Y
2841602,0.2951,Y
2841802,0.4277,Y
2842002,0.2235,Y
2842202,0.6528,Y
2842402,0.4334,Y
2842602,0.5213,Y
2842802,0.4275,Y
2843002,0.6333,Y
2843202,0.2426,Y
2843402,0.3259,Y
2843602,0.8127,Y
2843802,0.5842,Y
2844002,0.7023,Y
2844202,0.4518,Y
2844402,0.5903,Y
2844602,0.5911,Y
2844802,0.6743,Y
2845002,0.8043,Y
2845202,0.3795,Y
2845402,0.6017,Y
2845602,0.4791,Y
2846202,0.4682,Y
2846402,0.6568,Y
2846602,0.554,Y
2846802,0.3197,Y
2847002,0.1874,Y
2847202,0.5529,Y
2847402,0.7833,Y
2847602,0.3313,Y
2847802,0.5923,Y
2848002,0.2776,Y
2848202,0.5388,Y
2848602,0.3752,Y
2848802,0.6576,Y
2849002,0.8452,Y
2849202,0.6811,Y
2849402,0.6497,Y
2849602,0.2625,Y
2849802,0.2344,Y
2850002,0.2546,Y
2850202,0.4163,Y
2850402,0.5733,Y
2850602,0.5595,Y
2850802,0.3427,Y
2851002,0.4522,Y
2851202,0.2887,Y
2851402,0.3001,Y
2851602,0.4053,Y
2851802,0.4014,Y
2852002,0.6383,Y
2852202,0.6426,Y
2852402,0.4852,Y
2852602,0.5032,Y
2852802,0.7799,Y
2853002,0.5092,Y
2853202,0.3884,Y
2853402,0.4455,Y
2853602,0.4455,Y
2853802,0.5295,Y
2854002,0.5082,Y
2854202,0.5298,Y
2854402,0.4218,Y
2854602,0.4388,Y
2854802,0.3559,Y
2855002,0.2947,Y
2855202,0.3386,Y
2855402,0.5091,Y
2855602,0.3468,Y
2855802,0.4391,Y
2856002,0.1857,Y
2856202,0.3841,Y
2856402,0.5703,Y
2856602,0.5036,Y
2856802,0.3458,Y
2857002,0.524,Y
2857202,0.4217,Y
2857402,0.2557,Y
2857602,0.3501,Y
2857802,0.2119,Y
2858002,0.4931,Y
2858202,0.3935,Y
2858402,0.5017,Y
2858602,0.4998,Y
2859002,0.5959,Y
2859202,0.3375,Y
2859402,0.3438,Y
2859602,0.2665,Y
2859802,0.3443,Y
2860002,0.4042,Y
2860202,0.6032,Y
2860402,0.6051,Y
2860602,0.3676,Y
2860802,0.2031,Y
2861002,0.1685,Y
2861202,0.1677,Y
2861402,0.3708,Y
2861602,0.6609,Y
2861802,0.7328,Y
2862002,0.5871,Y
2862202,0.4812,Y
2862402,0.5591,Y
2862602,0.5562,Y
2862802,0.5906,Y
2863002,0.3804,Y
2863202,0.2286,Y
2863402,0.5066,Y
2863602,0.2141,Y
2863802,0.4016,Y
2864002,0.4214,Y
2864202,0.328,Y
2864402,0.3634,Y
2864602,0.2301,Y
2864802,0.6191,Y
2865002,0.4373,Y
2865202,0.5347,Y
2865402,0.4095,Y
2865602,0.3912,Y
2865802,0.484,Y
2866002,0.467,Y
2866202,0.3829,Y
2866402,0.6344,Y
2866602,0.6751,Y
2866802,0.2691,Y
2867202,0.6604,Y
2867402,0.4533,Y
2867602,0.5049,Y
2867802,0.5498,Y
2868002,0.5139,Y
2868202,0.2815,Y
2868402,0.2003,Y
2868602,0.6818,Y
2868802,0.7864,Y
2869002,0.778,Y
2869402,0.5558,Y
2869602,0.1476,Y
2869802,0.8418,Y
2870002,0.4202,Y
2870202,0.2146,Y
2870402,0.5562,Y
2870602,0.4265,Y
2870802,0.5817,Y
2871002,0.508,Y
2871202,0.2604,Y
2871402,0.5198,Y
2871602,0.7451,Y
2871802,0.4899,Y
2872002,0.4899,Y
2872202,0.5305,Y
2872402,0.2903,Y
2872602,0.2381,Y
2872802,0.3107,Y
2873002,0.3125,Y
2873202,0.4518,Y
2873402,0.3787,Y
2873602,0.7002,Y
2873802,0.3019,Y
2874002,0.5853,Y
2874202,0.3328,Y
2874402,0.5616,Y
2874602,0.5898,Y
2874802,0.5895,Y
2875002,0.4545,Y
2875202,0.2313,Y
2875402,0.2359,Y
2875602,0.5727,Y
2875802,0.3218,Y
2876002,0.5643,Y
2876202,0.5002,Y
2876402,0.7853,Y
2876602,0.3689,Y
2876802,0.5428,Y
2877002,0.5679,Y
2877202,0.5523,Y
2877402,0.1736,Y
2877602,0.356,Y
2877802,0.4983,Y
2878002,0.5486,Y
2878202,0.3178,Y
2878402,0.2362,Y
2878602,0.4349,Y
2878802,0.1574,Y
2879002,0.2741,Y
2879202,0.6679,Y
2879402,0.4274,Y
2879602,0.5247,Y
2879802,0.4515,Y
2880002,0.2188,Y
2880202,0.1119,Y
2880402,0.5008,Y
2880602,0.1135,Y
2880802,0.3218,Y
2881002,0.6067,Y
2881402,0.4237,Y
2881602,0.5353,Y
2881802,0.1921,Y
2882002,0.3075,Y
2882202,0.2782,Y
2882402,0.6778,Y
2882602,0.45,Y
2882802,0.7562,Y
2883002,0.3148,Y
2883202,0.2486,Y
2883402,0.5402,Y
2883602,0.3337,Y
2883802,0.3623,Y
2884202,0.337,Y
2884402,0.5339,Y
2884602,0.3575,Y
2884802,0.4391,Y
2885002,0.3846,Y
2885202,0.3133,Y
2885402,0.3993,Y
2885602,0.4287,Y
2885802,0.4623,Y
2886002,0.4178,Y
2886202,0.4824,Y
2886402,0.2862,Y
2886602,0.4518,Y
2886802,0.4012,Y
2887002,0.554,Y
2887202,0.2614,Y
2887402,0.5358,Y
2887602,0.5535,Y
2887802,0.3111,Y
2888002,0.3927,Y
2888202,0.4357,Y
2888402,0.5884,Y
2888602,0.6063,Y
2888802,0.2382,Y
2889002,0.4469,Y
2889202,0.7351,Y
2889402,0.2211,Y
2889602,0.4364,Y
2889802,0.5341,Y
2890002,0.3936,Y
2890202,0.5835,Y
2890402,0.6353,Y
2890602,0.3935,Y
2890802,0.4939,Y
2891002,0.7053,Y
2891202,0.3762,Y
2891402,0.2296,Y
2891602,0.2737,Y
2891802,0.3341,Y
2892002,0.2773,Y
2892202,0.4554,Y
2892402,0.5911,Y
2892602,0.8424,Y
